name,code,pop
Thailand,THA,93
Trinidad & Tobago,TTO,93
United Kingdom,GBR,92
Indonesia,IDN,91
Mexico,MEX,89
Denmark,DNK,87
Romania,ROU,86
Ecuador,ECU,83
Argentina,ARG,83
Colombia,COL,83
Egypt,EGY,80
Tunisia,TUN,80
Australia,AUS,80
Norway,NOR,80
Turkmenistan,TKM,79
Malaysia,MYS,78
Peru,PER,77
Brunei,BRN,76
US,USA,74
Italy,ITA,72
India,IND,72
Oman,OMN,71
Algeria,DZA,69
Uzbekistan,UZB,69
Syria,SYR,69
Gabon,GAB,69
China,CHN,68
Equatorial Guinea,GNQ,66
Angola,AGO,66
Brazil,BRA,64
Russian Federation,RUS,64
Sudan,SDN,55
Yemen,YEM,52
Nigeria,NGA,50
Azerbaijan,AZE,49
Vietnam,VNM,41
Qatar,QAT,40
Libya,LBY,39
Saudi Arabia,SAU,36
Chad,TCD,34
Iran,IRN,32
Kazakhstan,KAZ,32
United Arab Emirates,ARE,32
Kuwait,KWT,31
Canada,CAN,24
Iraq,IRQ,23
Venezuela,VEN,15
South Sudan,SSD,11
