date,price
01/01/2001,74.6769
01/01/2002,73.7651
01/01/2003,73.7895
01/01/2004,74.1945
01/01/2005,73.9798
01/01/2006,74.9568
01/01/2007,75.4428
01/01/2008,75.137
01/01/2009,73.5329
01/01/2010,72.865
01/01/2011,73.5765
01/01/2012,73.5893
01/01/2013,73.3374
01/01/2014,73.056
01/01/2015,73.073
01/01/2016,73.7169
01/01/2017,73.3988
01/01/2018,73.5295
01/01/2019,73.9106
01/01/2020,74.3841
01/01/2021,75.241
01/01/2022,75.6358
01/01/2023,76.3634
01/01/2024,76.0128
01/01/2025,75.6412
01/01/2026,75.8501
01/01/2027,75.7706
01/01/2028,76.3755
01/01/2029,76.1186
01/01/2030,76.2335
01/01/2031,76.0116
01/01/2032,76.4041
01/01/2033,76.4761
01/01/2034,77.6204
01/01/2035,76.9677
01/01/2036,76.9813
01/01/2037,76.6201
01/01/2038,76.1311
01/01/2039,77.4163
01/01/2040,76.9938
01/01/2041,79.2113
01/01/2042,80.6471
01/01/2043,79.4671
01/01/2044,79.0952
01/01/2045,78.6892
01/01/2046,76.935
01/01/2047,76.1519
01/01/2048,76.2267
01/01/2049,76.4392
01/01/2050,76.7631
01/01/2051,77.4114
01/01/2052,77.547
01/01/2053,77.8529
01/01/2054,78.382
01/01/2055,77.5428
01/01/2056,77.0918
01/01/2057,77.0997
01/01/2058,76.6786
01/01/2059,77.3784
01/01/2060,78.279
01/01/2061,77.9894
01/01/2062,78.411
01/01/2063,78.2685
01/01/2064,77.51
01/01/2065,77.674
01/01/2066,79.3265
01/01/2067,79.0261
01/01/2068,78.3535
01/01/2069,77.1736
01/01/2070,76.8317
01/01/2071,76.1678
01/01/2072,76.3705
01/01/2073,75.6835
01/01/2074,75.2973
01/01/2075,74.8643
01/01/2076,74.8955
01/01/2077,75.0933
01/01/2078,74.9662
01/01/2079,75.0288
01/01/2080,75.4181
01/01/2081,76.5073
01/01/2082,75.8081
01/01/2083,75.4379
01/01/2084,75.5078
01/01/2085,75.4251
01/01/2086,73.534
01/01/2087,74.2424
01/01/2088,74.1784
01/01/2089,75.016
01/01/2090,75.5111
01/01/2091,75.3037
01/01/2092,74.469
01/01/2093,74.7764
01/01/2094,74.094
01/01/2095,73.1488
01/01/2096,73.2768
01/01/2097,73.4761
01/01/2098,72.8655
01/01/2099,73.176
01/01/2100,73.6026
01/01/2101,73.0579
01/01/2102,73.5598
01/01/2103,73.6455
01/01/2104,73.4102
01/01/2105,72.7875
01/01/2106,73.5073
01/01/2107,73.4045
01/01/2108,74.3012
01/01/2109,73.6876
01/01/2110,72.6192
01/01/2111,72.5245
01/01/2112,71.7758
01/01/2113,71.8121
01/01/2114,71.2081
01/01/2115,71.1479
01/01/2116,70.6633
01/01/2117,71.4298
01/01/2118,71.8745
01/01/2119,71.2713
01/01/2120,70.9983
01/01/2121,71.0548
01/01/2122,70.6032
01/01/2123,70.8353
01/01/2124,71.0074
01/01/2125,71.218
01/01/2126,71.324
01/01/2127,71.6151
01/01/2128,71.4536
01/01/2129,70.3794
01/01/2130,71.2637
01/01/2131,70.3303
01/01/2132,69.7828
01/01/2133,69.1783
01/01/2134,68.6504
01/01/2135,69.2648
01/01/2136,69.5418
01/01/2137,69.734
01/01/2138,69.7287
01/01/2139,69.6679
01/01/2140,70.1183
01/01/2141,69.8125
01/01/2142,68.6758
01/01/2143,68.5792
01/01/2144,68.355
01/01/2145,68.4234
01/01/2146,69.3092
01/01/2147,68.5047
01/01/2148,68.9409
01/01/2149,69.4435
01/01/2150,70.6311
01/01/2151,70.5247
01/01/2152,71.2328
01/01/2153,70.8238
01/01/2154,71.6008
01/01/2155,71.816
01/01/2156,70.9987
01/01/2157,71.2263
01/01/2158,72.5639
01/01/2159,72.6745
01/01/2160,73.7829
01/01/2161,73.982
01/01/2162,73.9056
01/01/2163,73.1836
01/01/2164,73.2302
01/01/2165,73.6601
01/01/2166,74.6038
01/01/2167,73.7686
01/01/2168,75.2048
01/01/2169,74.2186
01/01/2170,73.2933
01/01/2171,74.1628
01/01/2172,74.7357
01/01/2173,74.6398
01/01/2174,74.4653
01/01/2175,76.0479
01/01/2176,77.4375
01/01/2177,74.4846
01/01/2178,74.0317
01/01/2179,74.2604
01/01/2180,75.1972
01/01/2181,73.1614
01/01/2182,73.6147
01/01/2183,73.8648
01/01/2184,73.6583
01/01/2185,75.4658
01/01/2186,75.4707
01/01/2187,76.2555
01/01/2188,77.181
01/01/2189,77.5609
01/01/2190,78.8904
01/01/2191,77.9078
01/01/2192,79.9714
01/01/2193,79.1763
01/01/2194,77.1263
01/01/2195,78.7058
01/01/2196,78.8428
01/01/2197,80.32
01/01/2198,79.4734
01/01/2199,79.4225
01/01/2200,79.9663
01/01/2201,74.9837
01/01/2202,73.8543
01/01/2203,73.5824
01/01/2204,74.5306
01/01/2205,72.3005
01/01/2206,71.9464
01/01/2207,68.103
01/01/2208,67.0272
01/01/2209,66.0801
01/01/2210,65.447
01/01/2211,66.8429
01/01/2212,67.5054
01/01/2213,66.2643
01/01/2214,65.0519
01/01/2215,65.4105
01/01/2216,64.1742
01/01/2217,64.1013
01/01/2218,63.6257
01/01/2219,63.8977
01/01/2220,63.4852
01/01/2221,63.5606
01/01/2222,63.4747
01/01/2223,63.154
01/01/2224,63.3818
01/01/2225,64.1459
01/01/2226,64.0663
01/01/2227,63.3695
01/01/2228,62.869
01/01/2229,63.0698
01/01/2230,63.595
01/01/2231,63.8869
01/01/2232,63.4015
01/01/2233,62.7534
01/01/2234,62.376
01/01/2235,63.0323
01/01/2236,61.952
01/01/2237,61.9974
01/01/2238,62.0058
01/01/2239,61.8591
01/01/2240,61.6025
01/01/2241,61.4921
01/01/2242,61.672
01/01/2243,61.5899
01/01/2244,61.431
01/01/2245,61.2974
01/01/2246,60.9419
01/01/2247,61.3246
01/01/2248,61.6545
01/01/2249,61.843
01/01/2250,61.9571
